Ticker,Current Ratio,Current ROA (TTM),Current ROI (TTM),Current ROE (TTM),Price/Cash Flow,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Annual Sales,Long Term Debt ,Book Value,Net Margin,5 Yr Hist. Div. Growth %,Dividend ,Cash Flow ,Net Income ,EBITDA ,5 Yr. Hist. EPS Growth,Beta,52 Week High,Last Close,Shares Outstanding ,12 Mo Trailing EPS,% Rating Hold,% Rating Strong Sell or Sell,% Rating Strong Buy or Buy,Market Cap 
AFL,0.04,2.71,20.3,24.16,6.76,0.71,6.8,9.22,22171,3285,28.93,0.09,9.8687,1.23,2972,1964,3188,18.46,1.82,57,43.04,467.17,6.33,29.41,5.88,64.71,20106.87
AFLYY,0.7,-2.07,-3.79,-8.79,0.5,,,,31251.91,11883.23046,29.37,,,0,3028.84912,809.84997,2796.12988,,1.73,17.75,5.02,300.22,-2.76,100,0,0,1507.1
AFNG,,3.8,13.18,19.31,3.74,,6,26.95,2.4,0,,0.11,,0,0.134,0.275,0.86,,-1.57,1.01,0.06,18.63,0.01,,,,1.12
AFOP,7.29,6.32,7.16,7.18,12.01,,18.47,7.11,42.02,0.11999,7.15,0.11,,0,6.701,4.42999,6.63,19.4,1.22,10.87,9.05,8.83,0.49,0,0,100,79.9
AFRNF,,,,,,,,,,,,,,0,,,,,0.63,2.8,2.14,1073.67,,25,25,50,2297.64
AFSI,0.68,3.42,13.68,19.9,6.88,0.76,9.17,21.67,1357.76,447.57,16.06,0.13,28.603,0.34,229.451,170.42999,294.72,22.69,0.92,27.59,26.33,60.18,2.87,14.29,0,85.71,1584.49
AG,4.94,28.75,35.38,36.25,12.89,1.07,14.19,,248.76,9.81999,3.34,0.42,,0,124.88999,103.56999,153.25999,,0.33,24.94,15.32,105.43,1.08,25,0,75,1615.23
AGBR,0.05,-1200,,,,,,,,0,-0.04,,,0,-0.038,-0.03,-0.029,,-0.07,0.13,0.009,21.42,0,,,,0.19
AGCO,1.66,7.06,12.15,14.85,6.82,0.45,9.79,3.93,8773.2,1409.69995,31.19,0.07,,0,623.90002,583.29998,775.79998,8.99,1.86,58.13,43.75,97.2,4.47,61.54,7.69,30.77,4252.67
AGEN,2.53,-100.31,-165.59,,,,,-6.38,2.76,32.63,-0.97,-8.44,,0,-21.02701,-23.27001,-16.81,,1.94,7.04,6.45,22.49,-1.17,0,0,100,145.08
